epoch,loss_baseline,loss_spec,time_baseline_ms,time_spec_ms
1,0.281102806,0.281102806,0.002000,0.002000
2,0.278483093,0.278483093,0.001000,0.002000
3,0.276041180,0.276041180,0.001000,0.001000
4,0.273764014,0.273764014,0.001000,0.001000
5,0.271637946,0.271637946,0.001000,0.001000
6,0.269649982,0.269649982,0.001000,0.001000
7,0.267787367,0.267787367,0.001000,0.001000
8,0.266038090,0.266038090,0.001000,0.001000
9,0.264391184,0.264391184,0.001000,0.002000
10,0.262836576,0.262836576,0.000000,0.001000
11,0.261365265,0.261365265,0.001000,0.002000
12,0.259969175,0.259969175,0.001000,0.002000
13,0.258641183,0.258641183,0.000000,0.002000
14,0.257374883,0.257374883,0.001000,0.001000
15,0.256164789,0.256164789,0.001000,0.001000
16,0.255005866,0.255005866,0.001000,0.001000
17,0.253893793,0.253893793,0.001000,0.001000
18,0.252824545,0.252824545,0.001000,0.002000
19,0.251794577,0.251794577,0.001000,0.001000
20,0.250800699,0.250800699,0.001000,0.001000
21,0.249839962,0.249839962,0.001000,0.001000
22,0.248909608,0.248909608,0.001000,0.002000
23,0.248007208,0.248007208,0.001000,0.002000
24,0.247130424,0.247130424,0.001000,0.001000
25,0.246277109,0.246277109,0.001000,0.001000
26,0.245445222,0.245445222,0.001000,0.001000
27,0.244632930,0.244632930,0.001000,0.001000
28,0.243838444,0.243838444,0.001000,0.001000
29,0.243060112,0.243060112,0.001000,0.002000
30,0.242296413,0.242296413,0.001000,0.001000
31,0.241545886,0.241545886,0.001000,0.001000
32,0.240807205,0.240807205,0.001000,0.001000
33,0.240079045,0.240079045,0.001000,0.001000
34,0.239360303,0.239360303,0.001000,0.001000
35,0.238649786,0.238649786,0.001000,0.002000
36,0.237946540,0.237946540,0.001000,0.002000
37,0.237249553,0.237249553,0.001000,0.001000
38,0.236558035,0.236558035,0.001000,0.001000
39,0.235870957,0.235870957,0.001000,0.001000
40,0.235187799,0.235187799,0.001000,0.002000
41,0.234507620,0.234507620,0.001000,0.002000
42,0.233829871,0.233829871,0.001000,0.001000
43,0.233153939,0.233153939,0.001000,0.001000
44,0.232479244,0.232479244,0.001000,0.001000
45,0.231805265,0.231805265,0.001000,0.001000
46,0.231131449,0.231131449,0.001000,0.001000
47,0.230457440,0.230457440,0.001000,0.001000
48,0.229782760,0.229782760,0.001000,0.002000
49,0.229107097,0.229107097,0.000000,0.001000
50,0.228429943,0.228429943,0.001000,0.001000
51,0.227751151,0.227751151,0.001000,0.001000
52,0.227070272,0.227070272,0.001000,0.001000
53,0.226387098,0.226387098,0.001000,0.001000
54,0.225701347,0.225701347,0.001000,0.001000
55,0.225012779,0.225012779,0.001000,0.001000
56,0.224321157,0.224321157,0.001000,0.002000
57,0.223626256,0.223626256,0.000000,0.002000
58,0.222927868,0.222927868,0.001000,0.001000
59,0.222225875,0.222225875,0.001000,0.001000
60,0.221519992,0.221519992,0.001000,0.001000
61,0.220810175,0.220810175,0.001000,0.001000
62,0.220096081,0.220096081,0.001000,0.001000
63,0.219377667,0.219377667,0.001000,0.001000
64,0.218654782,0.218654782,0.001000,0.002000
65,0.217927188,0.217927188,0.001000,0.002000
66,0.217194825,0.217194825,0.001000,0.002000
67,0.216457486,0.216457486,0.001000,0.001000
68,0.215715080,0.215715080,0.001000,0.001000
69,0.214967415,0.214967415,0.001000,0.001000
70,0.214214295,0.214214295,0.001000,0.002000
71,0.213455603,0.213455603,0.001000,0.002000
72,0.212691218,0.212691218,0.000000,0.001000
73,0.211920843,0.211920843,0.001000,0.001000
74,0.211144432,0.211144432,0.001000,0.001000
75,0.210361779,0.210361779,0.001000,0.001000
76,0.209572643,0.209572643,0.001000,0.001000
77,0.208776966,0.208776966,0.001000,0.001000
78,0.207974374,0.207974374,0.001000,0.001000
79,0.207164764,0.207164764,0.001000,0.002000
80,0.206347898,0.206347898,0.001000,0.002000
81,0.205523580,0.205523580,0.000000,0.002000
82,0.204691529,0.204691529,0.001000,0.001000
83,0.203851521,0.203851521,0.001000,0.001000
84,0.203003347,0.203003347,0.001000,0.001000
85,0.202146769,0.202146769,0.001000,0.001000
86,0.201281339,0.201281339,0.001000,0.002000
87,0.200407058,0.200407058,0.001000,0.002000
88,0.199523449,0.199523449,0.001000,0.001000
89,0.198630303,0.198630303,0.001000,0.001000
90,0.197727337,0.197727337,0.001000,0.001000
91,0.196814194,0.196814194,0.001000,0.002000
92,0.195890680,0.195890680,0.001000,0.001000
93,0.194956362,0.194956362,0.001000,0.002000
94,0.194010973,0.194010973,0.001000,0.001000
95,0.193054274,0.193054274,0.001000,0.001000
96,0.192085862,0.192085862,0.001000,0.001000
97,0.191105425,0.191105425,0.001000,0.001000
98,0.190112740,0.190112740,0.001000,0.002000
99,0.189107448,0.189107448,0.001000,0.001000
100,0.188089103,0.188089103,0.001000,0.001000
101,0.187057525,0.187057525,0.001000,0.001000
102,0.186012447,0.186012447,0.001000,0.002000
103,0.184953526,0.184953526,0.001000,0.002000
104,0.183880344,0.183880344,0.001000,0.002000
105,0.182792827,0.182792827,0.001000,0.001000
106,0.181690544,0.181690544,0.001000,0.001000
107,0.180573314,0.180573314,0.001000,0.001000
108,0.179440811,0.179440811,0.001000,0.002000
109,0.178292871,0.178292871,0.001000,0.001000
110,0.177129149,0.177129149,0.001000,0.001000
111,0.175949544,0.175949544,0.001000,0.001000
112,0.174753800,0.174753800,0.001000,0.001000
113,0.173541725,0.173541725,0.001000,0.002000
114,0.172313169,0.172313169,0.001000,0.001000
115,0.171068013,0.171068013,0.001000,0.001000
116,0.169806153,0.169806153,0.001000,0.001000
117,0.168527454,0.168527454,0.001000,0.001000
118,0.167231828,0.167231828,0.001000,0.002000
119,0.165919274,0.165919274,0.000000,0.001000
120,0.164589763,0.164589763,0.001000,0.001000
121,0.163243353,0.163243353,0.001000,0.001000
122,0.161880076,0.161880076,0.001000,0.001000
123,0.160500035,0.160500035,0.001000,0.002000
124,0.159103304,0.159103304,0.001000,0.002000
125,0.157690182,0.157690182,0.001000,0.001000
126,0.156260759,0.156260759,0.001000,0.001000
